,user-id,text,audioFileName,audioLength,commentMsg,language,AIF,TAADNM,SVIU,ICA,BIN,IA,VIROA
189,2400,குகைக் கல்வெட்டுகளில் இதை மிகுதியாகக் காணப்படுகிறது.,230340_2,5.308,Text is fine;,Tamil,0,0,0,0,0,0,0
190,2400,இதுவரை இது இசைக்கோவைகளை வெளியிட்டுள்ளது.,230339_2,5.436,Text is fine;,Tamil,0,0,0,0,0,0,0
191,2400,மேடை நாடகங்களில் நடிக்க ஆரம்பித்து கலைத்துறையில் நுழைந்தார்.,230338_2,6.587999999999999,Text is fine;,Tamil,0,0,0,0,0,0,0
192,2400,இது இயக்கவியலின் ஒரு பகுதியாகும்.,229635_2,4.9239999999999995,Text is fine;,Tamil,0,0,0,0,0,0,0
193,2400,என்பது அதன் பொருள்.,229268_2,4.0280000000000005,Text is fine;,Tamil,0,0,0,0,0,0,0
194,2400,சதவீதத்தை விட அதிகமாகும்.,229267_2,4.668,Text is fine;,Tamil,0,0,0,0,0,0,0
195,2400,வருவாய் அலுவலர் மட்டுமே உள் வட்ட அளவிலான விசாரணை அலுவலர் ஆவார்.,229266_2,7.1,Text is fine;,Tamil,0,0,0,0,0,0,0
196,2400,திருவிதாங்கோடு மக்கள் தொகையில் % ஆறு வயதுக்குட்பட்டோர் ஆவார்கள்.,229265_2,7.1,Text is fine;,Tamil,0,0,0,0,0,0,0
197,2400,ஆம் ஆண்டு நடந்த களில் வெண்கலப் பதக்கம் பெற்றார்.,229264_2,5.308,Text is fine;,Tamil,0,0,0,0,0,0,0
198,2400,புராணத்திற்கு இணையாக ஆங்கிலத்தில்என்ற சொல் வழங்கப்படுகிறது.,229263_2,7.1,Text is fine;,Tamil,0,0,0,0,0,0,0
199,2400,அணுவாற்றல் துறை இந்தியாவெங்கும் விண்வெளி ஆராய்ச்சிக்கு நிதியுதவி வழங்கியது.,229262_2,7.1,Text is fine;,Tamil,0,0,0,0,0,0,0
200,2400,"மீ தொலைவிலும், பாண்டிச்சேரி சுமார் கி.",229261_2,5.9479999999999995,Text is fine;,Tamil,0,0,0,0,0,0,0
201,2400,இவருக்கு சாந்தி மற்றும் தேன்மொழி என இரண்டு சகோதரிகள் உள்ளனர்.,229260_2,5.9479999999999995,Text is fine;,Tamil,0,0,0,0,0,0,0
