,user-id,text,audioFileName,audioLength,commentMsg,language,AIF,TAADNM,SVIU,ICA,BIN,IA,VIROA
592,683,ఆధునిక ఎలక్ట్రానిక్ కంప్యూటర్లు యొక్క ప్రాథమిక బిల్డింగ్ బ్లాక్ ట్రాన్సిస్టర్.,277530_1,7.228,Text too long;Too many difficult words in text (not used in day-to-day conversations);,Telugu,0,0,0,0,0,0,0
593,683,వేదికవిజ్ఞానశాస్త్రము వ వారం బొమ్మ.,277529_1,5.82,Incomplete or abruptly ending text;Many spelling/grammar errors in text;Text is fine;,Telugu,0,0,0,0,0,0,0
594,683,ఈ లెక్క ఇంతే నాటిక.,277528_1,4.284,Text is fine;,Telugu,0,0,0,0,0,0,0
595,683,ప్రైవేటు కొరియర్గ్రామంలో లేదు సమీపప్రైవేటు కొరియర్ గ్రామానికి కిలోమీటర్ల కన్నా దూరంలో ఉంది.,277527_1,11.068,Many spelling/grammar errors in text;Too many difficult words in text (not used in day-to-day conversations);Text is fine;,Telugu,0,0,0,0,0,0,0
596,683,పోటీచేసిన వారు బి కరుణాకర్ కాంగ్రెస్ ఎమ్ రామిరెడ్డి స్వతంత్ర.,277526_1,7.867999999999999,Text is fine;,Telugu,0,0,0,0,0,0,0
597,683,లివ్ లైక్ వుయ్ వర్ డయింగ్.,277525_1,4.412,Text is fine;,Telugu,0,0,0,0,0,0,0
598,683,అంగడిబొమ్మ కు దారి మారుస్తున్నాం.,277524_1,4.0280000000000005,Text is fine;,Telugu,0,0,0,0,0,0,0
599,683,వ్యవసాయము మరియు వ్వవసాయాధారిత పనులు ఇక్కడి ప్రధాన వృత్తి.,277523_1,5.692,Text too long;Too many difficult words in text (not used in day-to-day conversations);,Telugu,0,0,0,0,0,0,0
600,683,ఈ రెండింటి ఖైదు తో మొదటి దోషిగా న శిక్ష ఉండాలి.,277522_1,8.892000000000001,Incomplete or abruptly ending text;Many spelling/grammar errors in text;Too many difficult words in text (not used in day-to-day conversations);Text is fine;,Telugu,0,0,0,0,0,0,0
601,683,లాభశాతానికి సూత్రం లాభ శాతం లాభము కొన్నవెల.,277521_1,7.356,Text is fine;,Telugu,0,0,0,0,0,0,0
602,683,హనుమాన్ జంక్షన్ ఏలూరు నూజివీదు గుడివాడ.,277520_1,5.82,Text is fine;,Telugu,0,0,0,0,0,0,0
